Line #,Part Number,Description,PartId,Note,Manufacturer Part Number 1,Designator,Quantity,Manufacturer 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,Package,Value
10,CL31B475KPHNNNE,CAP CER 4.7UF 10V X7R 1206,17410,,CL31B475KPHNNNE,C44,1,Samsung,Volume Production,Digi-Key,1276-1133-1-ND,0.28,0.28,1206,4.7uF
11,22272081,CONN HEADER 8POS .100 VERT TIN,9725,,22-27-2081,"CF1A, CF1B, CF1C, CF2A, CF2B, CF2C, J2, J3, J6, J7",10,Molex,Not Recommended for New Design,Digi-Key,WM4117-ND,0.562,5.62,,
12,SI8640BD-B-IS,DGTL ISO 5KV 4CH GEN PURP 16SOIC,14404,,SI8640BD-B-IS,"IC1A, IC1B, IC1C, IC2A, IC2B, IC2C, IC3A, IC3B, IC3C",9,Silicon Labs,Volume Production,Digi-Key,336-2083-5-ND,2.06,18.54,SOIC,
13,BSS138WH6327XTSA1,MOSFET N-CH 60V 280MA SOT-323,8084,,BSS138WH6327XTSA1,IC4,1,Infineon,Volume Production,Digi-Key,BSS138WH6327XTSA1CT-ND,0.34,0.34,SOT-323,
14,TPS563201DDCT,IC REG BUCK ADJ 3A SYNC,16367,,TPS563201DDCT,IC5,1,Texas Instruments,Volume Production,Digi-Key,296-43393-6-ND,0.93,0.93,SOT-23-6,
15,,"Female Mid Mount Audio Jack, 6 Position, Height 2.55 mm, Tail Length 2 mm, -25 to 85 degC, RoHS, Tape and Reel",,,SJ-3506-SMT-TR,"J1A, J1B, J1C, J1D, J1E, J1F, J1G, J1H, J1I, J1J, J1K, J1L",12,CUI,Volume Production,Digi-Key,CP-3506SJDKR-ND,1.65,19.82,SMD/SMT,
16,SDS-50J,CONN RCPT FMALE DIN 5POS SOLDER,16458,,SDS-50J,J4,1,CUI,,Digi-Key,CP-2350-ND,,,,
17,,"Through Hole Right Angle DC Power Jack, 8 A, 2 mm Center Pin, 2 Position, -25 to 85 degC, RoHS, Bulk",,,PJ-063AH,J5,1,CUI,Volume Production,Digi-Key,CP-063AH-ND,1.36,1.36,,
18,744314330,FIXED IND 3.3UH 9A 9 MOHM SMD,9675,,744314330,L1,1,Wurth Electronics,Volume Production,Digi-Key,732-1160-1-ND,3.56,3.56,7050,3.3uH
19,VLCF4024T-4R7N1R4-2,FIXED IND 4.7UH 1.43A 87 MOHM,16432,,VLCF4024T-4R7N1R4-2,L2,1,TDK EPCOS,Volume Production,Digi-Key,445-8737-1-ND,0.97,0.97,Nonstandard,4.7uH
20,VLCF4024T-100MR90-2,FIXED IND 10UH 900MA 136 MOHM,16429,,VLCF4024T-100MR90-2,L3,1,TDK,Volume Production,Digi-Key,445-8727-1-ND,0.97,0.97,Nonstandard,10uH
21,CL-SB-12B-01T,SWITCH SLIDE SPDT 200MA 12V,16472,,CL-SB-12B-01T,"ON/OFF1, ON/OFF_+5",2,Nidec Copal,Volume Production,Digi-Key,563-1318-1-ND,0.96,1.92,,
22,6.91321E+11,"Serie 3211 - 3.50mm Vertical PCB Header WR-TBL, 3 pin",,,6.91321E+11,"POW_1, POW_2",2,Wurth Electronics,Volume Production,Digi-Key,732-2764-ND,0.69,1.38,,
